         n,            x ,         t,                    s,     Pk,     k,    epsilon 
     154       0  0.15400000E+00  0.00000000E+00  0.49203770E-04  0.60408276E-02  0.29914600E-02
     155       0  0.15500000E+00  0.00000000E+00  0.48708827E-04  0.60399638E-02  0.29887279E-02
     156       0  0.15600000E+00  0.00000000E+00  0.48708827E-04  0.60390999E-02  0.29859959E-02
     157       0  0.15700000E+00  0.00000000E+00  0.48708827E-04  0.60382360E-02  0.29832639E-02
     158       0  0.15800000E+00  0.00000000E+00  0.48708827E-04  0.60373722E-02  0.29805318E-02
     159       0  0.15900000E+00  0.00000000E+00  0.48708827E-04  0.60365083E-02  0.29777998E-02
     160       0  0.16000000E+00  0.00000000E+00  0.48708827E-04  0.60356445E-02  0.29750678E-02
     161       0  0.16100000E+00  0.00000000E+00  0.48708827E-04  0.60347806E-02  0.29723357E-02
     162       0  0.16200000E+00  0.00000000E+00  0.48708827E-04  0.60339167E-02  0.29696037E-02
     163       0  0.16300000E+00  0.00000000E+00  0.48708827E-04  0.60330529E-02  0.29668717E-02
     164       0  0.16400000E+00  0.00000000E+00  0.48708827E-04  0.60321890E-02  0.29641397E-02
     165       0  0.16500000E+00  0.00000000E+00  0.48708827E-04  0.60313252E-02  0.29614076E-02
     166       0  0.16600000E+00  0.00000000E+00  0.48708827E-04  0.60304613E-02  0.29586756E-02
     167       0  0.16700000E+00  0.00000000E+00  0.48708827E-04  0.60295974E-02  0.29559436E-02
     168       0  0.16800000E+00  0.00000000E+00  0.48708827E-04  0.60287336E-02  0.29532115E-02
     169       0  0.16900000E+00  0.00000000E+00  0.48708827E-04  0.60278697E-02  0.29504795E-02
     170       0  0.17000000E+00  0.00000000E+00  0.48708827E-04  0.60270059E-02  0.29477475E-02
     171       0  0.17100000E+00  0.00000000E+00  0.48708827E-04  0.60261420E-02  0.29450155E-02
     172       0  0.17200000E+00  0.00000000E+00  0.48708827E-04  0.60252781E-02  0.29422834E-02
     173       0  0.17300000E+00  0.00000000E+00  0.48708827E-04  0.60244143E-02  0.29395514E-02
     174       0  0.17400000E+00  0.00000000E+00  0.48708827E-04  0.60235504E-02  0.29368194E-02
     175       0  0.17500000E+00  0.00000000E+00  0.48708827E-04  0.60226866E-02  0.29340873E-02
     176       0  0.17600000E+00  0.00000000E+00  0.48708827E-04  0.60218227E-02  0.29313553E-02
     177       0  0.17700000E+00  0.00000000E+00  0.48708827E-04  0.60209588E-02  0.29286233E-02
     178       0  0.17800000E+00  0.00000000E+00  0.48708827E-04  0.60200950E-02  0.29258912E-02
     179       0  0.17900000E+00  0.00000000E+00  0.48708827E-04  0.60192311E-02  0.29231592E-02
     180       0  0.18000000E+00  0.00000000E+00  0.48708827E-04  0.60183673E-02  0.29204272E-02
     181       0  0.18100000E+00  0.00000000E+00  0.48708827E-04  0.60175034E-02  0.29176952E-02
     182       0  0.18200000E+00  0.00000000E+00  0.48708827E-04  0.60166395E-02  0.29149631E-02
     183       0  0.18300000E+00  0.00000000E+00  0.48708827E-04  0.60157757E-02  0.29122311E-02
     184       0  0.18400000E+00  0.00000000E+00  0.48708827E-04  0.60149118E-02  0.29094991E-02
     185       0  0.18500000E+00  0.00000000E+00  0.48708827E-04  0.60140480E-02  0.29067670E-02
     186       0  0.18600000E+00  0.00000000E+00  0.48708827E-04  0.60131841E-02  0.29040350E-02
     187       0  0.18700000E+00  0.00000000E+00  0.48708827E-04  0.60123202E-02  0.29013030E-02
     188       0  0.18800000E+00  0.00000000E+00  0.48708827E-04  0.60114564E-02  0.28985710E-02
     189       0  0.18900000E+00  0.00000000E+00  0.48708827E-04  0.60105925E-02  0.28958389E-02
     190       0  0.19000000E+00  0.00000000E+00  0.48708827E-04  0.60097287E-02  0.28931069E-02
     191       0  0.19100000E+00  0.00000000E+00  0.48708827E-04  0.60088648E-02  0.28903749E-02
     192       0  0.19200000E+00  0.00000000E+00  0.48226069E-04  0.60080556E-02  0.28878250E-02
     193       0  0.19300000E+00  0.00000000E+00  0.48226069E-04  0.60072464E-02  0.28852751E-02
     194       0  0.19400000E+00  0.00000000E+00  0.48226069E-04  0.60064372E-02  0.28827252E-02
     195       0  0.19500000E+00  0.00000000E+00  0.48226069E-04  0.60056281E-02  0.28801753E-02
     196       0  0.19600000E+00  0.00000000E+00  0.48226069E-04  0.60048189E-02  0.28776254E-02
     197       0  0.19700000E+00  0.00000000E+00  0.48226069E-04  0.60040097E-02  0.28750755E-02
     198       0  0.19800000E+00  0.00000000E+00  0.48226069E-04  0.60032005E-02  0.28725256E-02
     199       0  0.19900000E+00  0.00000000E+00  0.48226069E-04  0.60023913E-02  0.28699757E-02
     200       0  0.20000000E+00  0.00000000E+00  0.48226069E-04  0.60015821E-02  0.28674258E-02
     201       0  0.20100000E+00  0.00000000E+00  0.48226069E-04  0.60007730E-02  0.28648759E-02
     202       0  0.20200000E+00  0.00000000E+00  0.48226069E-04  0.59999638E-02  0.28623260E-02
     203       0  0.20300000E+00  0.00000000E+00  0.48226069E-04  0.59991546E-02  0.28597761E-02
     204       0  0.20400000E+00  0.00000000E+00  0.48226069E-04  0.59983454E-02  0.28572262E-02
     205       0  0.20500000E+00  0.00000000E+00  0.48226069E-04  0.59975362E-02  0.28546763E-02
     206       0  0.20600000E+00  0.00000000E+00  0.48226069E-04  0.59967270E-02  0.28521264E-02
     207       0  0.20700000E+00  0.00000000E+00  0.48226069E-04  0.59959179E-02  0.28495765E-02
     208       0  0.20800000E+00  0.00000000E+00  0.48226069E-04  0.59951087E-02  0.28470267E-02
     209       0  0.20900000E+00  0.00000000E+00  0.48226069E-04  0.59942995E-02  0.28444768E-02
     210       0  0.21000000E+00  0.00000000E+00  0.48226069E-04  0.59934903E-02  0.28419269E-02
     211       0  0.21100000E+00  0.00000000E+00  0.48226069E-04  0.59926811E-02  0.28393770E-02
     212       0  0.21200000E+00  0.00000000E+00  0.48226069E-04  0.59918719E-02  0.28368271E-02
     213       0  0.21300000E+00  0.00000000E+00  0.48226069E-04  0.59910628E-02  0.28342772E-02
     214       0  0.21400000E+00  0.00000000E+00  0.48226069E-04  0.59902536E-02  0.28317273E-02
     215       0  0.21500000E+00  0.00000000E+00  0.48226069E-04  0.59894444E-02  0.28291774E-02
     216       0  0.21600000E+00  0.00000000E+00  0.48226069E-04  0.59886352E-02  0.28266275E-02
     217       0  0.21700000E+00  0.00000000E+00  0.48226069E-04  0.59878260E-02  0.28240776E-02
     218       0  0.21800000E+00  0.00000000E+00  0.48226069E-04  0.59870168E-02  0.28215277E-02
     219       0  0.21900000E+00  0.00000000E+00  0.48226069E-04  0.59862076E-02  0.28189778E-02
     220       0  0.22000000E+00  0.00000000E+00  0.48226069E-04  0.59853985E-02  0.28164279E-02
